Class,Genus,Species,Common_name,Mass_kg,Max_longevity_yr,Data_quality,Specimen_origin,Mass_source,Longevity_source
Amphibia,Anaxyrus,americanus,American toad,0.0217667,36.0,acceptable,captivity,AnAge,AnAge
Amphibia,Anaxyrus,terrestris,Southern toad,0.019267,10.0,acceptable,captivity,AnAge,AnAge
Amphibia,Rhinella,marina,Cane toad,0.10625,24.8,acceptable,captivity,AnAge,AnAge
Amphibia,Hoplobatrachus,occipitalis,African tigrine frog,0.048100000000000004,10.9,acceptable,captivity,AnAge,AnAge
Amphibia,Hyla,versicolor,Gray treefrog,0.0072,7.8,acceptable,captivity,AnAge,AnAge
Amphibia,Xenopus,laevis,African clawed frog,0.13,30.3,acceptable,captivity,AnAge,AnAge
Amphibia,Lithobates,catesbeianus,American bullfrog,0.0544,16.0,acceptable,captivity,AnAge,AnAge
Amphibia,Lithobates,pipiens,Northern leopard frog,0.0290222,9.0,acceptable,wild,AnAge,AnAge
Amphibia,Ambystoma,maculatum,Spotted salamander,0.01284,32.0,acceptable,unknown,AnAge,AnAge
Amphibia,Ambystoma,tigrinum,Tiger salamander,0.009401999999999999,25.0,acceptable,captivity,AnAge,AnAge
Amphibia,Amphiuma,means,Two-toed amphiuma,0.200967,27.0,acceptable,captivity,AnAge,AnAge
Amphibia,Cryptobranchus,alleganiensis,Hellbender,0.35810000000000003,29.0,acceptable,wild,AnAge,AnAge
Amphibia,Desmognathus,ochrophaeus,Allegheny mountain dusky salamander,0.0006,19.8,acceptable,captivity,AnAge,AnAge
Amphibia,Desmognathus,quadramaculatus,Black-bellied salamander,0.01434,15.0,acceptable,captivity,AnAge,AnAge
Amphibia,Plethodon,cinereus,Eastern red-backed salamander,0.0005,25.0,acceptable,wild,AnAge,AnAge
Amphibia,Plethodon,glutinosus,Northern slimy salamander,0.004200000000000001,20.1,acceptable,captivity,AnAge,AnAge
Amphibia,Proteus,anguinus,Olm,0.017,102.0,acceptable,wild,AnAge,AnAge
Amphibia,Salamandra,salamandra,European fire salamander,0.019100000000000002,24.0,acceptable,captivity,AnAge,AnAge
Aves,Accipiter,cooperii,Cooper's hawk,0.52664,20.3,acceptable,wild,AnAge,AnAge
Aves,Accipiter,fasciatus,Brown goshawk,0.4535,14.9,acceptable,wild,AnAge,AnAge
Aves,Accipiter,gentilis,Northern goshawk,1.0442,22.0,acceptable,wild,AnAge,AnAge
Aves,Accipiter,nisus,Eurasian sparrowhawk,0.2375,20.2,acceptable,wild,AnAge,AnAge
Aves,Accipiter,striatus,Sharp-shinned hawk,0.135,19.9,acceptable,wild,AnAge,AnAge
Aves,Aegypius,monachus,Cinereous vulture,9.625,39.0,acceptable,captivity,AnAge,AnAge
Aves,Aquila,adalberti,Spanish imperial eagle,3.0,44.5,acceptable,captivity,AnAge,AnAge
Aves,Aquila,audax,Wedge-tailed eagle,3.466,40.0,acceptable,captivity,AnAge,AnAge
Aves,Aquila,chrysaetos,Golden eagle,4.8,48.0,acceptable,captivity,AnAge,AnAge
Aves,Aquila,fasciata,Bonelli's eagle,2.0,20.0,acceptable,captivity,AnAge,AnAge
Aves,Aquila,heliaca,Eastern imperical eagle,3.262,56.0,acceptable,captivity,AnAge,AnAge
Aves,Aquila,nipalensis,Steppe eagle,2.7455,41.0,acceptable,captivity,AnAge,AnAge
Aves,Aquila,pomarina,Lesser spotted eagle,1.37,26.1,acceptable,wild,AnAge,AnAge
Aves,Aquila,rapax,Tawny eagle,1.9961,40.3,acceptable,captivity,AnAge,AnAge
Aves,Butastur,indicus,Grey-faced buzzard,0.415,8.5,acceptable,wild,AnAge,AnAge
Aves,Buteo,buteo,Buzzard,1.012,28.8,acceptable,wild,AnAge,AnAge
Aves,Buteo,jamaicensis,Red-tailed hawk,1.362,30.7,acceptable,wild,AnAge,AnAge
Aves,Buteo,lagopus,Rough-legged hawk,0.98064,18.8,acceptable,wild,AnAge,AnAge
Aves,Buteo,lineatus,Red-shouldered hawk,0.607,22.4,acceptable,wild,AnAge,AnAge
Aves,Buteo,platypterus,Broad-winged hawk,0.454,18.3,acceptable,wild,AnAge,AnAge
Aves,Buteo,regalis,Ferruginous hawk,1.5,23.7,acceptable,wild,AnAge,AnAge
Aves,Buteo,solitarius,Hawaiian hawk,0.505,17.0,acceptable,wild,AnAge,AnAge
Aves,Buteo,swainsoni,Swainson's hawk,0.98064,24.9,acceptable,wild,AnAge,AnAge
