HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult weight (g),Maximum longevity (yrs),Specimen origin,Data quality,Source
00036,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,21.7667,36,captivity,acceptable,525
00045,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,19.267,10,captivity,acceptable,451
00055,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,106.25,24.8,captivity,acceptable,485
00068,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,48.1,10.9,captivity,acceptable,451
00078,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,7.2,7.8,captivity,acceptable,543
00107,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,130,30.3,captivity,acceptable,451
00110,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,54.4,16,captivity,acceptable,485
00112,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,29.0222,9,wild,acceptable,525
00133,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,12.84,32,unknown,acceptable,
00139,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,9.402,25,captivity,acceptable,485
00141,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,200.967,27,captivity,acceptable,485
00145,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,358.1,29,wild,acceptable,528
00159,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Allegheny mountain dusky salamander,0.6,19.8,captivity,acceptable,485
00160,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,Black-bellied salamander,14.34,15,captivity,acceptable,485
