bin,log10M_med,log10T_med,n
-9.0,-9.0,-0.7958800173440752,1
-7.0,-6.522878745280337,-0.5228787452803376,1
-6.0,-5.099086932262331,-0.3098039199714863,1
-5.0,-4.331502296598951,0.4392608977506033,2
-4.0,-3.3010299956639813,1.2966651902615312,3
-3.0,-2.1307682802690238,0.9395192526186185,169
-2.0,-1.5528419686577808,1.0,857
-1.0,-0.4565532643452722,1.2304489213782739,886
0.0,0.4605219929002008,1.3263358609287514,815
1.0,1.4124605474299614,1.3617278360175928,323
2.0,2.255272505103306,1.4948361238119365,126
3.0,3.339940971056431,1.6989700043360187,20
4.0,4.408286348013052,1.877861222451729,10
5.0,5.066769454185109,2.1828375702279588,2
