Class,Genus,Species,Common name,Mass_kg,Max_longevity_yr,log10M,log10T
Amphibia,Anaxyrus,americanus,American toad,0.0217667,36.0,-1.6622074083693215,1.5563025007672873
Amphibia,Anaxyrus,terrestris,Southern toad,0.019267,10.0,-1.7151859026187688,1.0
Amphibia,Rhinella,marina,Cane toad,0.10625,24.8,-0.9736710612776509,1.3944516808262164
Amphibia,Hoplobatrachus,occipitalis,African tigrine frog,0.048100000000000004,10.9,-1.3178549236261683,1.0374264979406236
Amphibia,Hyla,versicolor,Gray treefrog,0.0072,7.8,-2.1426675035687315,0.8920946026904804
Amphibia,Xenopus,laevis,African clawed frog,0.13,30.3,-0.8860566476931632,1.481442628502305
Amphibia,Lithobates,catesbeianus,American bullfrog,0.0544,16.0,-1.26440110030182,1.2041199826559248
Amphibia,Lithobates,pipiens,Northern leopard frog,0.0290222,9.0,-1.537269669374304,0.9542425094393249
Amphibia,Lithobates,sylvaticus,Wood frog,0.00788,5.0,-2.1034737825104446,0.6989700043360189
Amphibia,Ambystoma,maculatum,Spotted salamander,0.01284,32.0,-1.8914349762671656,1.505149978319906
Amphibia,Ambystoma,tigrinum,Tiger salamander,0.009401999999999999,25.0,-2.0267797531477663,1.3979400086720377
Amphibia,Amphiuma,means,Two-toed amphiuma,0.200967,27.0,-0.696875250512426,1.4313637641589874
Amphibia,Cryptobranchus,alleganiensis,Hellbender,0.35810000000000003,29.0,-0.445995678988097,1.462397997898956
Amphibia,Desmognathus,ochrophaeus,Allegheny mountain dusky salamander,0.0006,19.8,-3.2218487496163566,1.2966651902615312
Amphibia,Desmognathus,quadramaculatus,Black-bellied salamander,0.01434,15.0,-1.8434508486682186,1.1760912590556813
Amphibia,Plethodon,cinereus,Eastern red-backed salamander,0.0005,25.0,-3.3010299956639813,1.3979400086720377
Amphibia,Plethodon,glutinosus,Northern slimy salamander,0.004200000000000001,20.1,-2.376750709602099,1.3031960574204888
Amphibia,Proteus,anguinus,Olm,0.017,102.0,-1.7695510786217261,2.0086001717619175
Amphibia,Salamandra,salamandra,European fire salamander,0.019100000000000002,24.0,-1.7189666327522723,1.380211241711606
Aves,Accipiter,cooperii,Cooper's hawk,0.52664,20.3,-0.2784861579159776,1.307496037913213
Aves,Accipiter,fasciatus,Brown goshawk,0.4535,14.9,-0.3434227086038859,1.173186268412274
Aves,Accipiter,gentilis,Northern goshawk,1.0442,22.0,0.0187836888746968,1.3424226808222062
Aves,Accipiter,nisus,Eurasian sparrowhawk,0.2375,20.2,-0.6243363860391147,1.3053513694466237
Aves,Accipiter,striatus,Sharp-shinned hawk,0.135,19.9,-0.8696662315049939,1.2988530764097066
Aves,Aegypius,monachus,Cinereous vulture,9.625,39.0,0.9834007381805383,1.591064607026499
Aves,Aquila,adalberti,Spanish imperial eagle,3.0,44.5,0.47712125471966244,1.6483600109809315
Aves,Aquila,audax,Wedge-tailed eagle,3.466,40.0,0.5398285583778982,1.6020599913279625
Aves,Aquila,chrysaetos,Golden eagle,4.8,48.0,0.6812412373755872,1.6812412373755872
Aves,Aquila,fasciata,Bonelli's eagle,2.0,20.0,0.3010299956639812,1.3010299956639813
Aves,Aquila,heliaca,Eastern imperical eagle,3.262,56.0,0.513483956704257,1.7481880270062005
Aves,Aquila,nipalensis,Steppe eagle,2.7455,41.0,0.4386214480453956,1.6127838567197355
Aves,Aquila,pomarina,Lesser spotted eagle,1.37,26.1,0.1367205671564068,1.416640507338281
Aves,Aquila,rapax,Tawny eagle,1.9961,40.3,0.3001822946469007,1.6053050461411094
Aves,Butastur,indicus,Grey-faced buzzard,0.415,8.5,-0.3819519032879073,0.9294189257142927
Aves,Buteo,buteo,Buzzard,1.012,28.8,0.005180512503780314,1.4593924877592308
