HAGRID,Genus,Species,Common name,Order,Family,Adult weight (g),Maximum longevity (yrs),Specimen origin,Data quality,Source
01888,Echinops,telfairi,Lesser hedgehog tenrec,Afrosoricida,Tenrecidae,180,19,captivity,acceptable,671
01891,Microgale,dobsoni,Dobson's shrew tenrec,Afrosoricida,Tenrecidae,37.8,5.6,captivity,acceptable,434
01892,Microgale,talazaci,Talazac's shrew tenrec,Afrosoricida,Tenrecidae,50,5.8,captivity,acceptable,434
01893,Setifer,setosus,Greater hedgehog tenrec,Afrosoricida,Tenrecidae,225,14.1,captivity,acceptable,671
01894,Tenrec,ecaudatus,"Tailess tenrec, or Tenrec",Afrosoricida,Tenrecidae,900,8.7,captivity,acceptable,671
01895,Antilocapra,americana,Pronghorn,Artiodactyla,Antilocapridae,46100,17,captivity,acceptable,1306
01896,Addax,nasomaculatus,Addax,Artiodactyla,Bovidae,92500,28,captivity,high,671
01897,Aepyceros,melampus,Impala,Artiodactyla,Bovidae,52500,25.6,captivity,high,671
01898,Alcelaphus,buselaphus,Hartebeest,Artiodactyla,Bovidae,159000,22.5,captivity,acceptable,671
01900,Ammotragus,lervia,Aoudad,Artiodactyla,Bovidae,92500,21.7,captivity,acceptable,671
01901,Antidorcas,marsupialis,Springbok,Artiodactyla,Bovidae,39000,19.8,captivity,high,671
01902,Antilope,cervicapra,Blackbuck,Artiodactyla,Bovidae,37500,23.9,captivity,high,671
01904,Bison,bison,American bison,Artiodactyla,Bovidae,630000,33.5,captivity,high,671
01905,Bison,bonasus,European bison,Artiodactyla,Bovidae,610000,26.4,captivity,acceptable,671
01906,Bos,frontalis,Gaur,Artiodactyla,Bovidae,825000,26.2,captivity,acceptable,671
01907,Bos,grunniens,Yak,Artiodactyla,Bovidae,667000,26.3,captivity,high,671
01908,Bos,javanicus,Banteng,Artiodactyla,Bovidae,700000,27.1,captivity,acceptable,671
01911,Boselaphus,tragocamelus,Nilgai,Artiodactyla,Bovidae,180000,21.7,captivity,high,671
01912,Bubalus,bubalis,Water buffalo,Artiodactyla,Bovidae,725000,34.9,captivity,acceptable,671
01913,Bubalus,depressicornis,Anoa,Artiodactyla,Bovidae,155000,36.1,captivity,acceptable,671
01915,Bubalus,quarlesi,Mountain anoa,Artiodactyla,Bovidae,150000,29.2,captivity,acceptable,671
01916,Budorcas,taxicolor,Takin,Artiodactyla,Bovidae,180000,21.9,captivity,acceptable,671
01917,Capra,caucasica,West Caucasian tur,Artiodactyla,Bovidae,70000,19.3,captivity,acceptable,671
01918,Capra,cylindricornis,East Caucasian tur,Artiodactyla,Bovidae,50000,20.2,captivity,acceptable,671
01919,Capra,falconeri,Markhor,Artiodactyla,Bovidae,41000,19.1,captivity,high,671
01920,Capra,hircus,Domestic goat,Artiodactyla,Bovidae,61000,20.8,captivity,high,671
01921,Capra,ibex,Ibex,Artiodactyla,Bovidae,82500,21,captivity,acceptable,1306
01922,Capra,nubiana,Nubian ibex,Artiodactyla,Bovidae,46250,22.4,captivity,acceptable,"John Gramieri, pers. comm."
01924,Capra,sibirica,Siberian ibex,Artiodactyla,Bovidae,130000,22.3,captivity,acceptable,671
01925,Capricornis,crispus,Japanese serow,Artiodactyla,Bovidae,80000,24,captivity,acceptable,671
01926,Capricornis,sumatraensis,Serow,Artiodactyla,Bovidae,95000,18.5,captivity,acceptable,671
01927,Cephalophus,dorsalis,Bay duiker,Artiodactyla,Bovidae,11600,17.5,captivity,acceptable,671
01928,Cephalophus,jentinki,Jentink's duiker,Artiodactyla,Bovidae,70000.3,21,captivity,acceptable,671
01929,Cephalophus,natalensis,Natal duiker,Artiodactyla,Bovidae,10000,15.2,captivity,acceptable,671
01930,Cephalophus,niger,Black duiker,Artiodactyla,Bovidae,18100,14.8,captivity,acceptable,671
01931,Cephalophus,nigrifrons,Black-fronted duiker,Artiodactyla,Bovidae,13900,17.9,captivity,acceptable,671
01932,Cephalophus,rufilatus,Red-flanked duiker,Artiodactyla,Bovidae,13000,15.2,captivity,acceptable,671
01933,Cephalophus,silvicultor,Yellow-backed duiker,Artiodactyla,Bovidae,62000,22.5,captivity,acceptable,671
01934,Cephalophus,weynsi,Weyns's duiker,Artiodactyla,Bovidae,10000,15.2,captivity,acceptable,671
01936,Connochaetes,gnou,Black wildebeest,Artiodactyla,Bovidae,132250,21.8,captivity,acceptable,671
01937,Connochaetes,taurinus,Blue wildebeest,Artiodactyla,Bovidae,164500,24.3,captivity,high,671
01938,Damaliscus,lunatus,Topi,Artiodactyla,Bovidae,110000,35,captivity,acceptable,1306
01939,Damaliscus,pygargus,"Bontebok, or Sassaby, or Blesbok",Artiodactyla,Bovidae,84500,23,captivity,high,671
01940,Eudorcas,rufifrons,Red-fronted gazelle,Artiodactyla,Bovidae,15011,14.5,captivity,acceptable,671
01941,Eudorcas,thomsonii,Thomson's gazelle,Artiodactyla,Bovidae,25000,20,captivity,acceptable,671
01943,Gazella,cuvieri,Cuvier's gazelle,Artiodactyla,Bovidae,17500,17.9,captivity,acceptable,671
01944,Gazella,dorcas,Dorcas gazelle,Artiodactyla,Bovidae,14500,23.7,captivity,high,671
01945,Gazella,gazella,Mountain gazelle,Artiodactyla,Bovidae,23250,18.3,captivity,high,671
01946,Gazella,leptoceros,Rhim gazelle,Artiodactyla,Bovidae,48500,14.6,captivity,acceptable,671
01947,Gazella,saudiya,Saudi gazelle,Artiodactyla,Bovidae,32185.7,21,captivity,acceptable,1306
