Class,Genus,Species,Common_name,Mass_kg,Max_longevity_yr,Data_quality,Specimen_origin,Mass_source,Longevity_source,Scientific_name,log10M,log10T,bin2
Amphibia,Anaxyrus,americanus,American toad,0.0217667,36.0,acceptable,captivity,AnAge,AnAge,Anaxyrus americanus,-1.6622074083693215,1.5563025007672873,-2
Amphibia,Anaxyrus,terrestris,Southern toad,0.019267,10.0,acceptable,captivity,AnAge,AnAge,Anaxyrus terrestris,-1.7151859026187688,1.0,-2
Amphibia,Rhinella,marina,Cane toad,0.10625,24.8,acceptable,captivity,AnAge,AnAge,Rhinella marina,-0.9736710612776509,1.3944516808262164,-2
Amphibia,Hoplobatrachus,occipitalis,African tigrine frog,0.0481,10.9,acceptable,captivity,AnAge,AnAge,Hoplobatrachus occipitalis,-1.3178549236261683,1.0374264979406236,-2
Amphibia,Hyla,versicolor,Gray treefrog,0.0072,7.8,acceptable,captivity,AnAge,AnAge,Hyla versicolor,-2.1426675035687315,0.8920946026904804,-4
Amphibia,Xenopus,laevis,African clawed frog,0.13,30.3,acceptable,captivity,AnAge,AnAge,Xenopus laevis,-0.8860566476931632,1.481442628502305,-2
Amphibia,Lithobates,catesbeianus,American bullfrog,0.0544,16.0,acceptable,captivity,AnAge,AnAge,Lithobates catesbeianus,-1.26440110030182,1.2041199826559248,-2
Amphibia,Lithobates,pipiens,Northern leopard frog,0.0290222,9.0,acceptable,wild,AnAge,AnAge,Lithobates pipiens,-1.537269669374304,0.9542425094393249,-2
Amphibia,Ambystoma,maculatum,Spotted salamander,0.01284,32.0,acceptable,unknown,AnAge,AnAge,Ambystoma maculatum,-1.8914349762671656,1.505149978319906,-2
Amphibia,Ambystoma,tigrinum,Tiger salamander,0.0094019999999999,25.0,acceptable,captivity,AnAge,AnAge,Ambystoma tigrinum,-2.0267797531477707,1.3979400086720377,-4
Amphibia,Amphiuma,means,Two-toed amphiuma,0.200967,27.0,acceptable,captivity,AnAge,AnAge,Amphiuma means,-0.696875250512426,1.4313637641589874,-2
Amphibia,Cryptobranchus,alleganiensis,Hellbender,0.3581,29.0,acceptable,wild,AnAge,AnAge,Cryptobranchus alleganiensis,-0.4459956789880971,1.462397997898956,-2
Amphibia,Desmognathus,ochrophaeus,Allegheny mountain dusky salamander,0.0006,19.8,acceptable,captivity,AnAge,AnAge,Desmognathus ochrophaeus,-3.2218487496163566,1.2966651902615312,-4
Amphibia,Desmognathus,quadramaculatus,Black-bellied salamander,0.01434,15.0,acceptable,captivity,AnAge,AnAge,Desmognathus quadramaculatus,-1.8434508486682186,1.1760912590556813,-2
Amphibia,Plethodon,cinereus,Eastern red-backed salamander,0.0005,25.0,acceptable,wild,AnAge,AnAge,Plethodon cinereus,-3.3010299956639813,1.3979400086720377,-4
Amphibia,Plethodon,glutinosus,Northern slimy salamander,0.0042,20.1,acceptable,captivity,AnAge,AnAge,Plethodon glutinosus,-2.3767507096020997,1.3031960574204888,-4
Amphibia,Proteus,anguinus,Olm,0.017,102.0,acceptable,wild,AnAge,AnAge,Proteus anguinus,-1.7695510786217261,2.0086001717619175,-2
