HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult_weight_g,Adult_weight_g,Mass_kg,Max_longevity_yr,Max_longevity_yr,log10M,log10T,Specimen origin,Data quality,Source,Mass_source,Longevity_source,Backfill_note
00036,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,21.7667,21.7667,0.0217667,36,36.0,-1.6622074083693215,1.5563025007672873,captivity,acceptable,525,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00045,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,19.267,19.267,0.019267,10,10.0,-1.7151859026187688,1.0,captivity,acceptable,451,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00055,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,106.25,106.25,0.10625,24.8,24.8,-0.9736710612776509,1.3944516808262164,captivity,acceptable,485,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00068,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,48.1,48.1,0.048100000000000004,10.9,10.9,-1.3178549236261683,1.0374264979406236,captivity,acceptable,451,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00078,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,7.2,7.2,0.0072,7.8,7.8,-2.1426675035687315,0.8920946026904804,captivity,acceptable,543,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00107,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,130,130.0,0.13,30.3,30.3,-0.8860566476931632,1.481442628502305,captivity,acceptable,451,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00110,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,54.4,54.4,0.0544,16,16.0,-1.26440110030182,1.2041199826559248,captivity,acceptable,485,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00112,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,29.0222,29.0222,0.0290222,9,9.0,-1.537269669374304,0.9542425094393249,wild,acceptable,525,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00133,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,12.84,12.84,0.01284,32,32.0,-1.8914349762671656,1.505149978319906,unknown,acceptable,,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00139,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,9.402,9.402,0.009401999999999999,25,25.0,-2.0267797531477663,1.3979400086720377,captivity,acceptable,485,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00141,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,200.967,200.967,0.200967,27,27.0,-0.696875250512426,1.4313637641589874,captivity,acceptable,485,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00145,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,358.1,358.1,0.35810000000000003,29,29.0,-0.445995678988097,1.462397997898956,wild,acceptable,528,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
